State,Organic Farm Ratio,Air Quality,National Park Coverage,Carbon Footprint in 2020,Carbon Footprint Change YoY,Search Demand for 'Electric Cars',Solar Thermal & Photovoltaic Energy Consumption,Total Renewable Energy Consumption,Overall
Texas,41,17,26,47,26,17,3,1,24
California,3,34,3,46,8,1,1,2,3
Washington,5,3,9,24,2,3,32,3,1
Iowa,19,8,37,23,10,19,34,4,15
Oregon,11,4,32,12,23,4,19,5,4
New York,4,16,23,39,9,17,10,6,6
Oklahoma,44,23,41,30,32,19,41,7,39
Georgia,36,43,36,37,12,11,7,8,26
Florida,34,11,6,45,21,11,2,9,9
Alabama,46,38,40,33,35,23,30,10,43
Illinois,31,24,19,41,5,9,23,11,18
North Carolina,22,37,18,35,16,12,5,12,16
Minnesota,18,9,27,26,11,16,16,13,7
Kansas,38,21,44,21,45,18,39,14,40
Michigan,13,20,11,38,13,21,31,15,17
Pennsylvania,6,33,24,44,20,13,21,16,23
Tennessee,43,41,17,29,25,24,29,17,37
Nebraska,26,6,34,14,31,17,42,18,25
Colorado,24,40,24,27,17,11,12,19,22
Wisconsin,5,13,13,31,29,21,33,20,19
Indiana,14,41,29,40,18,20,24,21,31
Arizona,32,32,12,28,14,6,4,22,14
North Dakota,27,7,37,17,44,20,49,23,36
South Carolina,39,29,31,22,27,21,14,24,31
South Dakota,37,15,30,6,38,18,49,25,34
Virginia,29,30,25,32,30,12,17,26,30
Idaho,17,28,39,7,46,15,22,27,30
Ohio,15,43,30,43,42,17,28,28,42
Louisiana,45,16,42,42,40,26,32,29,46
Montana,20,14,22,8,2,24,43,30,18
Maine,2,5,10,5,39,10,38,31,10
Nevada,12,19,35,11,15,7,6,32,8
Arkansas,39,22,38,18,6,23,31,33,33
Missouri,30,26,33,36,36,20,26,34,41
New Mexico,28,19,38,13,34,17,13,35,28
Kentucky,35,35,15,34,19,21,40,36,38
Massachusetts,8,18,7,16,3,15,9,37,5
New Jersey,23,27,5,30,4,9,8,38,12
Mississippi,42,25,43,22,47,25,27,39,45
Wyoming,25,30,8,19,41,22,36,40,35
Maryland,16,39,21,15,7,11,18,41,20
Utah,33,44,14,20,37,7,11,42,32
New Hampshire,7,12,20,3,22,5,37,43,13
West Virginia,40,42,26,25,24,17,44,44,44
Connecticut,13,31,4,9,33,14,20,45,21
Vermont,1,10,28,1,24,2,31,46,11
Hawaii,10,1,1,6,1,8,15,47,2
Alaska,21,2,2,10,48,23,45,48,29
Rhode Island,9,25,28,2,43,10,25,49,27
Delaware,26,36,16,4,28,6,35,50,30